Question,Label,my_results
"Doctor, I have been experiencing frequent vomiting and difficulty in passing stool. I also feel full after eating a small amount of food.","Based on your symptoms, it sounds like you may have pyloric stenosis. We need to conduct several medical tests to confirm the diagnosis. We will start by ordering a radiographic imaging procedure, a complete blood count (CBC) and a blood test for kidney function. We also need to check your electrolytes panel, glucose level and replace your fluids intravenously. Patient Okay, doctor. Thank you for explaining the required medical tests. Can we start with the radiographic imaging procedure?",
"Doctor, I have been experiencing pain in my mouth and my saliva glands seem to be swollen. I think I might have a salivary gland disorder.","In order to diagnose your condition, we will need to perform a complete physical skin exam, interview, evaluation, and consultation. Additionally, we may need to perform a biopsy or excision to examine the affected area. Diagnostic procedures may also be required on your nose, mouth, and pharynx. We should also measure your Hemoglobin A1c to check for any potential complications related to diabetes. Furthermore, physical therapy exercises may help manage your symptoms.",
"Hello doctor, I have been experiencing severe pain in my joints and stiffness in my neck and lower back. I also feel numbness and tingling sensation in my arms and legs. ","Based on your symptoms, we need to conduct a few medical tests. We'll start with a plain x-ray and radiographic imaging procedure to get a closer look at your joints and spine. After that, I recommend physical therapy exercises to help reduce the pain and stiffness. We'll also need to examine your foot and conduct other diagnostic procedures, including an interview and evaluation, to assess your overall health. In addition, we may need to apply a splint and conduct physical therapy exercises, manipulation, and other procedures to help manage your symptoms.",
"Doctor, I have been experiencing some unusual symptoms lately, like fatigue, weight gain and increased thirst. I'm worried I might have a metabolic disorder.","Based on your symptoms, I would recommend conducting some medical tests. We should start by performing some hematologic tests, a lipid panel, a glucose measurement, and a hemoglobin A1c measurement. Additionally, we will need to perform a complete physical skin exam, an ultrasonography, and a mammography to help diagnose your condition further. These tests will help us understand your condition better and determine an effective treatment plan for your metabolic disorder.",
"Hi Doctor, I'm experiencing some discomfort in my vaginal area and discharge that has a foul odor. I think I might have vaginitis.","I see. To diagnose vaginitis, we will need to perform a pelvis exam and a urinalysis. We will also need to do a standard pregnancy test, a chlamydia test, an examination of your breast, and a microscopic examination of your vaginal discharge which includes a bacterial smear, culture, and toxicology. Additionally, we'll need to perform a pap smear.",
"Doctor, I have been experiencing fainting, dizziness, and shortness of breath lately. My heart rate also seems to be fluctuating between fast and slow. What could be the problem?","It is possible that you may be suffering from Sick Sinus Syndrome. To confirm the diagnosis, the required medical tests include an Electrocardiogram, Ultrasonography, Echocardiography, and a Lipid panel. Additionally, we may need to conduct a diagnostic cardiac catheterization, coronary arteriography, and a depression screening.",
"Doctor, I've been experiencing continuous ringing in my ears for the past few weeks. I'm quite worried about it. ","I see. Well, we need to do a few tests to determine the cause of your tinnitus. I recommend an ophthalmologic and otologic diagnosis and treatment for your ears. In addition, we need to conduct a Magnetic Resonance Imaging (MRI) test. It would also be helpful to perform other diagnostic procedures on your ear, nose, mouth, and throat. We may also need to do other therapeutic ear procedures or other physical therapy and rehabilitation if required. And finally, we may need to do other diagnostic and therapeutic nervous system procedures as well.",
"Doctor, I have been experiencing eye pain and blurred vision, and I am afraid it might be glaucoma. What tests should I take to confirm the diagnosis?","Based on your symptoms, it is necessary to conduct an ophthalmic examination and evaluation through an eye exam. This will help us diagnose and treat any ophthalmologic or otologic condition. Further therapeutic procedures, such as diagnostic procedures on the eye, glaucoma procedures, and other intraocular therapeutic procedures, may also be needed after the initial evaluation. Additionally, lens and cataract procedures, as well as other therapeutic procedures on the eyelids, conjunctiva, and cornea may be required to address any complications stemming from the condition.",
"Doctor, I believe I have been suffering from an eating disorder for a while now. I feel like my relationship with food has become extremely unhealthy, and it's affecting my mental health as well. I often find myself obsessing over my weight and food intake, and I don't know how to stop.","It sounds like you may benefit from several medical tests to assess your condition. As a first step, psychotherapy and mental health counseling could help you work through any underlying emotional issues that may be contributing to your eating disorder. Additionally, a depression screen could help determine if any mood disorders need to be addressed. A psychological and psychiatric evaluation and therapy could provide a more comprehensive understanding of your mental health status. Lastly, an occupational therapy assessment (speech therapy) could help determine if any additional interventions, such as speech therapy, could benefit you.",
"Hi, doctor. I think I have Pyelonephritis. I've been experiencing pain in my lower back and side, fever, chills and frequent urination. ","Based on your symptoms, it is possible that you have Pyelonephritis. We will need to run some medical tests to confirm the diagnosis. We will start with an urinalysis, hematologic tests, and a complete blood count. We may also need to give you intravenous fluid replacement to help with the infection. In addition, we may need to do a radiographic imaging procedure to examine your kidneys, and kidney function tests and glucose measurement to ensure that your kidneys are functioning properly.",
,,
