Question,Answer,output
"患者，男，65岁，诊断为持续性心房颤动，医生处方胺碘酮和华法林治疗。患者既往有高血压、糖尿病、冠心病和高脂血症，目前正在服用贝那普利、美托洛尔、二甲双胍、阿卡波糖、辛伐他汀等药物治疗。根据患者用药情况，药师提出的合理化药物治疗建议，不包括
A: 患者在复律成功后，尽可能以最小的胺碘酮剂量维持治疗
B: 因为胺碘酮和贝那普利存在具有潜在临床意义的药物相互作用，建议换成氨氯地平等CCB类降压药
C: 胺碘酮可以显著抑制CYP2D6，减慢美托洛尔的代谢，应该根据患者心率和血压调整美托洛尔剂量
D: 胺碘酮能增加华法林的抗凝活性，在逐渐降低胺碘酮剂量的同时，注意随时根据INR值调整华法林的剂量
E: 胺碘酮和辛伐他汀存在具有潜在临床意义的药物相互作用，合用时应该限制辛伐他汀的日剂量（不超过20mg/d）
","B
本题考查房颤。胺碘酮是肝药酶CYP2D6、CYP2C9、CYP2C19、CYP3A4抑制剂，不影响贝那普利代谢，B选项错误。","B
根据患者的用药情况，贝那普利和胺碘酮的相互作用可能会影响治疗效果。因此，建议换成氨氯地平等CCB类降压药是合理化药物治疗建议中不包括的选项。"
"患儿，男，2岁，误服大量维生素D软胶囊，出现食欲不振、烦躁、哭闹、低热等症状，急诊就医。对维生素D中毒后处理，错误的是
A: 停饮牛奶，改饮豆浆
B: 泼尼松2mg/（kg·d），口服
C: 降钙素50~100IU/d，肌注
D: 补充水分
E: 口服枸橼酸钙溶液
","E
本题考查维生素D中毒后处理。应立即停用维生素D、钙剂，E选项错误。牛奶中含钙，故须停饮牛奶，改饮豆浆。糖皮质激素可促进尿钙排泄。降钙素50~100IU/d，肌注：或者用双膦酸盐。补充水分以加速钙排泄。","E
维生素D中毒后的处理措施包括停止维生素D的摄入，补充水分以加速排除体内过量维生素D，口服枸橼酸钙溶液可帮助降低血钙浓度。泼尼松和降钙素的使用并不是维生素D中毒的常规处理方法，因此选项B和C是错误的。"
"患者，女，59岁，1个月前患胃溃疡，近日查体发现血脂异常。化验结果：TC7.2mmol/L，TG1.7mmol/L，LDL-C4.3mmol/L，ALT56U/L，AST80U/L。该患者首选的调脂药是
A: 非诺贝特片
B: 阿托伐他汀钙片
C: 普罗布考片
D: 阿昔莫司胶囊
E: 烟酸缓释胶囊
","B
本题考查高血脂。根据化验结果，TC、LDL-C明显增高而TG正常，可判断患者为高胆固醇血症，应首选他汀类药物。氨基转移酶持续升高超过正常值（","B
根据提供的信息，患者血脂异常的化验结果显示TC 7.2mmol/L，TG 1.7mmol/L，LDL-C 4.3mmol/L，ALT 56U/L，AST 80U/L。根据病情表现和血脂异常指标，阿托伐他汀钙片是首选的调脂药物，可有效降低LDL-C水平，改善血脂异常。
"
"病毒感染患者（流行性感冒）可见
A: 中性粒细胞减少
B: 中性粒细胞增多
C: 嗜酸性粒细胞增多
D: 血小板减少
E: 嗜碱性粒细胞减少
","A
本题考查血常规检查。白细胞（中性粒细胞）增加常见于急性细菌感染、中毒、急性大出血、骨髓增殖性疾病等。中性粒细胞减少可见于革兰阴性菌感染（伤寒、副伤寒）.结核分枝杆菌感染、病毒感染（风疹、肝炎、流行性感冒）。寄生虫感染（疟疾）等。再生障碍性贫血因造血功能降低，导致各种血细胞均减少；脾亢由于脾功能亢进，吞噬多种血细胞，导致血细胞减少。","A
根据证据5和证据6可推断，病毒感染如麻疹可能导致中性粒细胞减少，所以在流行性感冒患者中，中性粒细胞减少是常见的现象。"
"细菌性阴道炎患者表现为
A: 白带呈泡沫状
B: 白带呈奶酪或豆腐渣样
C: 白带无色透明，略带腥味
D: 白带呈白色、黏稠、无臭
E: 白带呈灰色或灰绿色，面糊状黏稠，可有气泡
","E
细菌性阴道炎：10%~50%的患者无症状，有症状者自诉出现鱼腥臭味的灰白色白带，阴道灼热感、瘙痒。阴道分泌物检查有如下特点：1.pH值达5.0-5.5,比正常高。2.白带为灰色或灰绿色，均质，如面糊样黏稠度，可有气泡。3.有烂鱼样恶臭，妇女月经后或性交后恶臭加重，性伴侣生殖器也可发出同样的恶臭味。","B
细菌性阴道炎患者表现为白带呈奶酪或豆腐渣样。根据病症特征，这种表现是细菌性阴道炎的典型症状之一，所以选择B。"
"为减轻慢性肾脏病患者毒素蓄积对全身多器官系统的损伤，可口服的药物是
A: 碳酸氢钠
B: 别嘌醇
C: 药用炭
D: 哌唑嗪
E: 胰岛素
","C
本题考查慢性肾脏病。CKD患者出现相应症状时，应对症用药。并发高尿酸血症应首选抑制尿酸生成药、促进尿酸排泄药，常用的药物包括别嘌醇、苯溴马隆、非布司他，碳酸氢钠是高尿酸血症的辅助用药。纠正代谢性酸中毒常用的药物为口服碳酸氢钠，同时可控制高钾血症，轻者1.5~3.0gd即可；中至重度患者3~15g/d，必要时可静脉输注。由于肾脏排泄能力障碍，为减轻毒素蓄积对患者全身多器官系统的损伤，可给予口服药用炭肠道吸附排毒的治疗。","C
根据提供的信息，药用炭是一种可以减轻肾脏病患者毒素蓄积对全身多器官系统损伤的药物。药用炭可以吸附体内的毒素，帮助净化血液，减轻肾脏负担，从而保护其他器官系统免受损伤。因此，药用炭是可口服的药物，适合用于这种情况下。
"
"轻至中度哮喘急性发作的首选药是
A: 倍氯米松气雾剂
B: 沙丁胺醇气雾剂
C: 噻托溴铵气雾剂
D: 孟鲁司特气雾剂
E: 氨茶碱缓释剂
","B
本题考查支气管哮喘。轻至中度哮喘急性发作首选短效β2受体激动剂，吸入给药是首选途径，正确答案为“沙丁胺醇气雾剂”。","B
本题考查哮喘急性发作的首选药物。根据提供的信息路径，沙丁胺醇气雾剂被推荐用于治疗虚喘，而在哮喘急性发作时，沙丁胺醇气雾剂通常被作为首选药物进行紧急救治，能够快速扩张支气管，缓解哮喘症状。"
"宜睡前使用的沙眼治疗药物是
A: 红霉素眼膏
B: 酞丁安滴眼液
C: 2%硝酸银溶液
D: 左氧氟沙星滴眼液
E: 硫酸锌滴眼液
","A
本题考查沙眼。治疗沙眼一般采用局部给药，严重者加用口服抗菌药。“白天使用滴眼液，睡前使用眼药膏”是最佳给药方案。单纯使用眼药膏，可以每天给药2~3次，最后一次选择睡前给药。葡萄糖-6-磷酸脱氢酶缺乏症患者有溶血性贫血倾向，禁用硫酸锌滴眼液。","A
宜睡前使用的沙眼治疗药物是红霉素眼膏。红霉素眼膏常用于治疗眼部感染，具有抗菌作用，适合用于治疗沙眼。"
"治疗巨幼细胞贫血，应注意可能出现的症状是
A: 低钠血症
B: 低钾血症
C: 高钾血症
D: 代谢性酸中毒
E: 高尿酸血症
","B
治疗巨幼细胞贫血，在贫血恢复过程中 大量血伺进入新生成的细胞内，会突然出现低饵血症。因此，在治疗起始的481J、时宜监测血清饵离子以防止低钢血症：对老年患者和有心血管疾病、纳差及合并应用排饵利尿剂等药物的患者应特别注意补仰。","B
治疗巨幼细胞贫血时，应注意可能出现的症状是低钾血症。巨幼细胞贫血患者常伴有细胞内钾离子流失增加，导致低钾血症的发生。"
"具有很强的抗炎作用，可促进溃疡愈合，外用贴敷于溃疡处，每处1片，一曰总量不得超过3片的药物是
A: 地塞米松粘贴片
B: 维生素C片
C: 西地碘含片
D: 甲硝唑口腔粘贴片
E: 氯己定含漱液
","A
地塞米松粘贴片具有很强的抗炎作用，降低毛细血管的通透性，减少炎症的渗出，贴片用量较小而作用直接、持久，可促进溃疡愈合；外用贴敷于溃疡处，每处1片，一日用药不得超过3片，连续使用不得超过1周。","A
地塞米松粘贴片常用于治疗瘀证相关疾病，而瘀证与溃疡有关。因此，地塞米松粘贴片具有很强的抗炎作用，可促进溃疡愈合。"
"患者，男，4岁，近期表现为乏力、下肢步态不稳、行走困难、嗜睡；经临床检查，各项血细胞均偏低，血涂片显示中性粒细胞核分叶过多，可有5叶或6叶以上的分叶；骨髓穿刺检查细胞呈典型的巨幼性改变，确诊为巨幼细胞贫血。应给予的治疗药物是
A: 硫酸亚铁
B: 输入新鲜血浆
C: 右旋糖Sf铁注射剂
D: 叶酸、维生素B2
E: 促红细胞生成素注射剂
","D
巨幼细胞贫血主要是由于患者体内叶酸、维生素B12缺乏导致血细胞DNA合成障碍所引起，故应补充这两种物质。","D
根据巨幼细胞贫血的临床特征以及治疗原则，巨幼细胞贫血是一种遗传性溶血性贫血疾病，主要特征是红细胞过早死亡，导致贫血和骨髓巨幼细胞增多。治疗方面主要是补充叶酸和维生素B12，以促进红细胞生成和改善贫血症状。因此，选项D中的叶酸和维生素B2是巨幼细胞贫血的常规治疗药物，符合患者的诊断和临床表现。"
"甲状腺功能减退症患者的临床表现不包括
A: 体重增加
B: 毛发稀疏
C: 易诱发冠心病
D: 情绪易激动
E: 易疲劳、怕冷
","D
本题考查甲减。甲减发病隐匿，一般症状为易疲劳、怕冷、体重增加、记忆力减退、反应迟钝、嗜睡、情绪低落、便秘、月经不调、肌肉痉挛等。体征主要表现有表情淡漠，面色苍白，皮肤干燥、发凉、粗糙、脱屑，颜面、眼睑和手部皮肤水肿，声音嘶哑，毛发稀疏、眉毛外端1/3脱落；由于高胡萝卡素血症，手足皮肤呈姜黄色。甲减对心血管系统的影响包括“甲减性心脏病”、血脂异常、冠心病高发。","C
甲状腺功能减退症患者的临床表现包括体重增加、毛发稀疏、易疲劳、怕冷等，但不包括易诱发冠心病。所以选项C“易诱发冠心病”不是甲状腺功能减退症的典型临床表现。"
"对真菌性角膜炎可选用
A: 杆菌肽眼膏
B: 硫酸锌滴眼液
C: 碘苷滴眼液
D: 色甘酸钠滴眼液
E: 克霉唑滴眼液
","E
本题考查结膜炎。根据病因，临床将结膜炎分类为以下几种，相应治疗药物归纳如下：（1）急性卡他性结膜炎：肺炎链球菌、流感嗜血杄菌、葡萄球菌等引起。治疗药物可选用四环素、金霉素、红霉素、利福平、杄菌肽眼膏、磺胺醋酰钠滴眼液；慢性者可用诺氟沙星、左氧氟沙星滴眼液、四环素眼膏。铜绿假单胞菌性结膜炎病情较严重者，常用妥布雷素滴眼液/眼膏。由环境（灰尘、风沙、倒睫、屈光不正）刺激所致的非细菌性结膜炎治疗以对症为主，应用0.5%硫酸锌滴眼液。（2）流行性结膜炎：由腺病毒引起，局部给予抗病毒药，可选用0.1%酞丁安、阿昔洛韦滴眼液、0.1%碘苷滴眼液，一次1~2滴，每间隔2小时给予1次。（3）流行性出血性结膜炎：由腺病毒70型引起，可选用0.1%羟苄唑、0.1%利巴韦林滴眼液。（4）过敏性结膜炎：可选用醋酸可的松、醋酸氢化可的松或色甘酸钠滴眼液和眼膏。（5）春季卡他性结膜炎：可应用2%色甘酸钠滴眼液，一次1~2滴，一日4次，重症者可适当增加到一日6次。（6）真菌性角膜炎：可选用两性霉素B、克霉唑滴眼液。","E
根据提供的信息，真菌性角膜炎通常治疗药物包括氟康唑滴眼液、伊曲康唑胶囊、妥布霉素眼膏等。其中，克霉唑是一种广谱抗真菌药物，用于治疗真菌感染，因此克霉唑滴眼液是对真菌性角膜炎的合适选择。"
"对流行性出血性结膜炎宜选用
A: 磺胺醋酰钠滴眼液
B: 伊曲康唑口服液
C: 0.2%酞丁安滴眼液
D: 0.3%羟苄唑滴眼液
E: 醋酸可的松滴眼液
","D
对流行性出血性结膜炎应用抗病毒药，可选用0.1%羟苄唑、0.1%利巴韦林滴眼液。","C
根据提供的信息，流行性出血性结膜炎宜选用0.2%酞丁安滴眼液。因为根据路径证据，酞丁安滴眼液常用于治疗椒疮，而椒疮是一种结膜炎症，因此对流行性出血性结膜炎也是适用的。"
"患者，女，40岁。既往有更气管哮喘史，近2年来出现劳累性呼吸困难，1天前因受凉出现发热、咳嗽，咳粉红色泡沫样痰，不能平卧。查体：半卧位，口唇紫绀，两肺大暈水泡音及哮鸣音。该患者最可能诊断为
A: 支气管哮喘
B: 大叶性肺炎
C: 急性左心衰竭
D: 急性心肌炎
E: 肺栓塞
","C
由题干可知，患者“劳力性呼吸困难”是左心衰竭最早出现的症状；而“咳粉红色泡沬样痰”则为急性左心衰竭的特征性表现。 故诊断此患者可能为急性左心衰竭","C
根据患者的症状表现，口唇紫绀、劳累性呼吸困难、大量泡沫痰、不能平卧等情况，最可能的诊断是急性左心衰竭。急性左心衰竭导致左心室血液回流，引起肺淤血和肺水肿，出现上述表现。"
"红细胞数量正常的小细胞低色素性贫血是由于体内缺乏
A: 促红细胞生成素（EPO）
B: 铁元素
C: 脾脏
D: 维生素B12
E: 骨髓
","B
本题考查抗贫血药的基本知识。缺铁性贫血是由于体内铁元素缺乏，使血红蛋白合成减少，引起的小细胞低色素性贫血，但红细胞数量正常。","B
小细胞低色素性贫血是由于体内缺乏铁元素引起的，铁元素是制造血红蛋白的重要成分，缺乏铁会导致贫血。选项A的促红细胞生成素（EPO）通常用于治疗肾性贫血，与小细胞低色素性贫血的病因不符。选项C的脾脏在贫血中可能扮演一定角色，但不是导致小细胞低色素性贫血的直接原因。选项D的维生素B12通常与巨幼细胞性贫血相关，而非小细胞低色素性贫血。选项E的骨髓是生产血细胞的地方，但并非直接导致小细胞低色素性贫血的原因。
"
"进食蛋白质食物过多导致的消化不良可选用
A: 法莫替丁
B: 甲氧氯普胺
C: 地衣芽孢杆菌
D: 胃蛋白酶
E: 复方阿嗪米特肠溶片
","D
本题考查消化不良。胃酸分泌过多导致上腹痛综合征，可选用抑酸剂如奥美拉唑、法莫替丁；也可服用抗酸剂如氢氧化铝、碳酸氢钠等和胃黏膜保护剂。伴有恶心或呕吐患者可选用促动力药，如甲氧氯普胺、多潘立酮。蛋白质进食过多，应服用胃蛋白酶促进蛋白质分解。",
"对冻疮患者的肌肉生长发挥促进作用的药物是
A: 维生素E
B: 5%樟脑醑
C: 氯苯那敏
D: 氧化锌软膏
E: 高锰酸钾洗液
","A
维生素E可促进肌肉生长,一次50~100mg,一日1-3次，连续3个月.",
"针对单纯严重乙醇中毒同时出现烦躁不安症状的患者，下列救治措施，错误的是
A: 静脉滴注美他多辛0.9g
B: 适当补充维生素C
C: 静脉注射纳洛酮0.4m萨吗啡20mg
D: 肌内注射维生素B1、维生素B6和烟酸各100mg
E: 静脉注射50%荀萄糖注射液100ml和胰岛素20U
","C
急性酒精中毒应慎重使用镇静剂，勿使用吗啡及巴比妥类药，以防止加重呼吸抑制。",
"关于昆虫叮咬的药物治疗，下列方法错误的是
A: 口服抗组胺药如氯苯那敏、西替利嗪、魚雷他定
B: 合并感染时可给予抗菌药物
C: 局部热敷可加速皮疹消退
D: 肾上腺糖皮质激素泼尼松15~20mg/d口服，逐渐减量
E: 炉甘石洗剂混匀后取适量涂抹于患处，毎日3次
","C
C选项的正确说法为局部冷湿敷可加速皮疹消退。",
"伴有神经系统表现的巨幼细胞贫血患者，在补充叶酸的基础上，还应补充
A: 维生素B1
B: 维生素B2
C: 维生素B6
D: 维生素B9
E: 维生素B12
","E
缺少叶酸和（或）维生素B以均可导致巨 幼细胞贫血。伴有神经系统表现者对治疗反应 不一，应连续肌注维生素B12 250 - 500 ug； 有时需要大剂量1000 pg,每周1次。对于不 能明确是维生素％2缺乏还是叶酸缺乏或同时缺 乏者，应同时联合叶酸和维生素Bu治疗，否则 单用叶酸会加重维生素B12缺乏，加重神经系统 损伤。",
"对消化和吸收不良综合征以及因胰腺功能不全引起的消化不良性腹泻适宜选用
A: 胰酶
B: 碳酸氢钠
C: 胃蛋白酶
D: 地芬诺酯
E: 鞣酸蛋白
","A
对消化和吸收不良综合征以及因胰腺功能不全引起的消化不良性腹泻患者，应用胰酶替代疗法。",
"关于帕金森病的治疗，描述错误的是
A: 药物治疗是帕金森病治疗的首选，且是整个治疗过程中的主要手段
B: 临床对帕金森病的运动症状和非运动症状采取全面综合的治疗
C: 手术治疗则是药物治疗的一种有效补充
D: 药物治疗可以改善患者的症状
E: 药物不能治愈帕金森病，但可以防止其随时间推移而恶化
","E
本题考查对帕金森病治疗的理解。临床对帕金森病的运动症状和非运动症状采取全面综合的治疗。治疗方法和手段包括药物治疗、手术治疗、运动疗法、心理疏导及照料护理等。药物治疗为首选，且是整个治疗过程中的主要治疗手段，手术治疗则是药物治疗的一种有效补充。目前应用的药物治疗只能改善患者的症状，没有药物能够治愈帕金森病或防止其随时间推移而恶化。故正确答案为E。",
"抑制骨破坏，能明显缓解骨痛，适宜伴骨痛的骨质疏松症患者的药物是
A: 降钙素
B: 阿仑膦酸钠
C: 雷洛昔芬
D: 葡萄糖酸钙
E: 特立帕肽
","A
本题考查骨质疏松症。双膦酸盐是目前临床上应用最为广泛的抗骨质疏松症药物，对男性、女性老年患者和女性绝经后骨质疏松症患者均适用。绝经后骨质疏松症可以选用MTH和选择性雌激素受体调节剂治疗，MTH包括雌激素补充疗法和雌、孕激素补充疗法；雷洛昔芬属于选择性雌激素受体调节剂类药物。降钙素能抑制破骨细胞的生物活性、减少破骨细胞数量，从而减少骨量丢失并增加骨量；还能明显缓解骨痛，对骨质疏松症及其骨折引起的骨痛有效。",
"患者，男，60岁，因“坏死性胰腺炎”行剖腹探查术后2年，进食油炸食品后出现轻度腹泻。宜选用的药物是
A: 复方阿嗪米特肠溶片
B: 奥美拉唑肠溶胶囊
C: 蒙脱石散
D: 干酵母片
E: 诺氟沙星胶囊
","A
本题考查腹泻。因胰腺功能不全所致消化不良性腹泻应服用胰酶，选项中只有复方阿嗪米特肠溶片（每片含阿嗪米特75mg、胰酶100mg、纤维素酶10mg、二甲硅油50mg）中含有胰酶。对消化不良并有食欲减退者可服用增加食欲药，如口服干酵母片（一次0.5~2g，一日3次）。无发热和腹痛症状，可排除感染性腹泻；而因化学刺激引起的腹泻，可供选用的有双八面体蒙脱石散，其能够覆盖消化道，与黏膜蛋白结合后增强黏液屏障，防止胃酸、病毒、细菌、毒素对消化道黏膜的侵害。",
"患者，男，诊断为骨性关节炎，持续疼痛数月，使用NSAlDs疗效不佳，为了缓解疼痛导致的焦虑抑郁情绪，可选用
A: 糖皮质激素
B: 透明质政纳
C: 塞来昔布
D: 氨基葡萄糖
E: 氯米帕明
","E
抗焦虑抑郁药物：可应用于长期持续疼 痛患者，尤其是对NSAIDs不敏感的患者，建议 在专科医生指导下使用，不仅可缓解因慢性疼 痛导致的焦虑抑郁状态，还可增加中枢神经的 下行性疼痛抑制系统功能。",
"重症溃疡性结肠炎患者治疗应首选
A: 静脉糖皮质激素
B: 美沙拉秦栓剂
C: 美沙拉秦灌肠剂
D: 口服糖皮质激素
E: 静脉美沙拉秦
","A
本题考查溃疡性结肠炎用药选择。轻、中型活动性UC的治疗主要针对疾病累及的部位合理使用药物。针对直肠型UC患者，宣使用5-ASA栓剂；当病变局限在直肠及乙状结肠时，应使用灌肠剂；也可以联合口服与局部用5-ASA制剂，甚至局部或口服激素治疗。缓慢期治疗基本同上。重症UC患者首选静脉使用激素，针对静脉用足量激素治疗5~7天无效者，可予以免疫抑制剂或生物制剂作为“挽救治疗”，如使用环孢素A或英夫利西单抗。内科治疗无效者应及时转手术治疗。",
"患者，女，28岁，患多囊卵巢综合征，结婚3年未孕，前来就诊。检查确定患者不排卵是不孕原因。可促进患者排卵的药物或治疗方法是
A: 螺内酯
B: 氯米芬
C: 奥利司他
D: 短效COC
E: 雌、孕激素周期序贯治疗
","B
本题考查多囊卵巢综合征。对于该类患者可先通过生活方式干预、抗雄激素和改善胰岛素抵抗等基础治疗，在改善代谢和健康问题后仍未排卵者，可予药物促排卵治疗。促排卵药有氯米芬、来曲唑、促性腺激素。二甲双胍与氯米芬、促性腺激素等联用，可用于氯米芬抵抗或失败多囊卵巢综合征女性的治疗，但二甲双胍单独使用没有促排卵作用。",
"患者，男，40岁，因感冒所致鼻塞到药店购药，药肺应推荐的药品是
A: 阿昔洛韦片
B: 伪麻黄碱片
C: 奥司他韦胶囊
D: 对乙酰氨基酚片
E: 扎那米韦吸入粉雾剂
","B
治疗成人感冒症状的有效药物仅限于非处方解热镇痛药、含或不含抗组胺药的减轻鼻充血药和锌制剂：1.对乙酰氨基酚和布洛芬等解热镇痛药已被证明能减轻头痛、耳痛和肌肉疼痛：2.减轻鼻充血药（口服或鼻内给药）可以缓解鼻塞症状，如伪麻黄碱。",
"服用异烟肼期间，易致周围神经炎的发生，这是因为体内缺乏
A: 维生素A
B: 维生素B1
C: 维生素B6
D: 维生素B12
E: 维生素K
","C
本题考查异烟肼的药物相互作用。异烟肼为维生素B6的拮抗剂，可增加维生素B6经肾排出量，易致周围神经炎的发生。同时服用维生素B6者，需酌情增加用量。故正确答案为C。",
"针对十二指肠溃疡患者抑酸治疗，可首选的是
A: PPI
B: H2受体阻断剂
C: 胆碱能受体阻断剂
D: 黏膜保护剂
E: 胃泌素阻断剂
","A
针对十二指肠溃疡患者抑酸治疗，应首选的是PPI抑酸治疗降低胃内酸度，与溃疡（尤其是十二指肠溃疡）的愈合存在直接关系。",
"可引起血小板减少症，建议在使用后的第3~10天复查血小板计数的药物是
A: 肝素
B: 雌激素
C: 泼尼松
D: 烟酸
E: 地西泮
","A
本题考查肝素。肝素可引起血小板减少症（HIT），常在应用肝素5天后出现，建议在使用后的第3~10天复查血小板计数。",
